n_rot,n_inv,n_rotoinv,n_mirror,n_rot_screw,1/2tran_screw,1/3tran_screw,3/4tran_screw,1/4tran_screw,1/6tran_screw,n_glide,1/2tran_glide,3/4tran_glide,1/4tran_glide,n_tr,index
2,2.0,0,1,2,1,0,0,0,0,1,1,0,0,1,1616
2,2.0,0,1,2,1,0,0,0,0,1,1,0,0,1,1652
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1160
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3107
2,0.0,4,0,2,1,0,0,0,0,4,1,0,0,1,2639
3,0.0,4,0,0,0,0,0,0,0,6,1,0,0,0,1585
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,352
3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3042
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,861
2,2.0,0,1,2,1,0,0,0,0,1,1,0,0,1,1634
0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1545
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,429
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2542
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3032
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2490
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3087
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2791
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,134
3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,1092
0,0.0,0,1,2,1,0,0,0,0,1,1,0,0,0,664
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,322
2,0.0,4,0,2,1,0,0,0,0,4,0,1,1,1,2061
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2473
3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,1098
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,302
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,84
3,0.0,4,6,3,1,0,0,0,1,6,1,0,0,1,1058
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,62
3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,170
3,0.0,4,0,0,0,0,0,0,0,6,1,0,0,0,1570
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,695
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,929
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3287
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1951
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2320
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,266
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1957
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3062
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,1214
0,0.0,0,1,2,1,0,0,0,0,1,1,0,0,0,3154
0,0.0,0,1,2,1,0,0,0,0,1,1,0,0,0,650
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,905
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3269
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2518
2,2.0,0,2,2,1,0,0,0,0,4,1,0,0,1,2677
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,912
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1168
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,701
2,0.0,4,0,2,1,0,0,0,0,4,1,0,0,1,2645
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3037
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3263
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2942
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3281
2,1.0,0,2,2,1,0,0,0,0,1,1,0,0,0,2699
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,1204
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,541
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2966
