seebeck,cond_elec,cond_therm,index
49.0,273832.0,3.39,2229
60.0,10942.0,0.53,985
64.0,14150.0,0.53,991
86.0,124627.0,0.9,1196
173.0,31480.0,1.6,162
142.0,18000.0,0.5,2796
329.0,2735.0,0.57,698
-84.0,46667.0,8.0,342
484.0,471.0,0.5,708
30.0,336207.0,4.17,2169
52.0,101149.0,1.12,2954
63.0,171429.0,2.86,1580
-281.0,7561.0,0.78,1219
94.0,590700.0,8.32,112
172.0,49818.0,1.07,2621
208.0,9368.0,2.0,46
21.0,244.0,0.53,2693
-276.0,11040.0,0.8,1224
145.0,3235.0,0.31,2256
125.0,91454.0,2.29,2332
422.0,930.0,0.52,704
-72.0,300000.0,7.13,1241
-49.0,53.0,0.65,2683
-49.0,19430.0,7.58,282
-214.0,19512.0,1.14,3092
211.3,69230.0,3.28,509
-200.0,27081.0,1.16,3102
10.0,571905.0,4.37,959
287.0,5000.0,1.92,50
-40.0,667884.0,11.2,2082
92.0,117606.0,0.79,1178
33.0,589691.0,6.78,918
444.0,3578.0,1.12,2524
42.0,233000.0,2.26,657
-190.0,21413.0,1.19,3052
35.0,179808.0,2.75,2936
352.0,1580.0,1.9,54
30.0,443478.0,4.72,2175
53.0,89655.0,1.06,2948
-405.0,4217.0,7.84,2047
82.0,39393.0,1.53,1894
-127.0,90640.0,0.75,1538
-85.0,22100.0,0.72,82
-19.0,1269362.0,10.0,2075
411.0,5190.0,0.86,1034
-89.0,39724.0,0.72,404
61.0,161200.0,2.19,2088
-77.0,56145.0,8.44,312
565.0,142.0,0.56,712
28.0,43750.0,0.72,787
61.0,145794.0,1.81,2239
120.0,102249.0,2.16,2314
85.0,37643.0,1.56,1887
89.0,39607.0,1.64,1880
45.0,246575.0,3.51,1575
141.0,4191.0,0.45,2250
57.0,96552.0,1.07,2960
-97.0,29670.0,0.82,414
63.0,33861.0,0.61,2262
-74.0,42857.0,6.75,292
435.0,5000.0,1.23,2536
186.0,530.0,1.42,2912
-193.0,16695.0,1.24,3082
-526.0,6.0,0.53,1983
637.0,45.0,0.64,716
48.0,139506.0,2.33,1013
133.0,102583.0,1.43,2633
229.0,13400.0,5.29,2124
-93.0,255629.0,6.7,1248
53.0,206711.0,2.45,2095
529.0,5.0,0.37,1616
119.0,185.0,0.85,1652
107.0,69583.0,0.61,1160
-206.0,27189.0,1.18,3107
163.0,64685.0,1.23,2639
72.0,103152.0,2.8,1585
-165.0,2800.0,52.17,352
80.0,38107.0,1.52,1901
-198.0,19493.0,1.08,3042
332.0,1174.0,1.4,861
181.0,649.0,0.66,1634
-138.0,90000.0,0.79,1545
-165.0,7735.0,0.56,429
507.0,274.0,1.27,2542
-240.0,5971.0,1.19,3032
96.0,107383.0,0.86,2490
-189.0,19512.0,1.34,3087
113.0,25918.0,0.54,2791
108.0,397674.0,12.63,134
238.0,8088.0,0.91,1092
39.0,293000.0,2.56,664
-71.0,59430.0,7.83,322
-168.0,27384.0,5.23,2061
15.0,979730.0,7.35,2473
221.0,10377.0,0.67,1098
-60.0,18000.0,11.5,302
-121.0,13800.0,0.7,84
320.0,16750.0,1.0,1058
670.0,89.0,1.87,62
148.0,57000.0,1.84,170
35.0,356436.0,4.33,1570
302.0,4080.0,0.6,695
27.0,741237.0,8.04,929
77.0,100529.0,1.18,3287
77.0,51733.0,1.0,1951
119.0,95296.0,2.14,2320
153.0,160000.0,15.0,266
82.0,38533.0,0.98,1957
-215.0,18956.0,1.0,3062
-282.0,7346.0,0.74,1214
-152.0,68519.0,0.68,3154
41.0,271000.0,2.35,650
35.0,507216.0,6.07,905
428.0,662.0,0.73,3269
473.0,1500.0,0.85,2518
-33.0,84.0,0.53,2677
42.0,475258.0,5.85,912
98.0,103086.0,0.73,1168
377.0,1560.0,0.55,701
155.0,79820.0,1.15,2645
-220.0,11583.0,1.14,3037
278.0,5364.0,0.76,3263
39.0,135577.0,1.85,2942
434.0,430.0,0.72,3281
-89.0,196825.0,1.67,2699
-296.0,6769.0,0.83,1204
-49.0,35660.0,2.75,541
56.0,81609.0,0.89,2966
